,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
382,,,,2021-06-05 13:14:00,17,
383,,,,2021-06-05 13:31:00,18,
384,,,,2021-06-05 13:47:00,18,
385,,,,2021-06-05 14:03:00,10762,
386,,,,2021-06-05 14:20:00,20,
387,,,,2021-06-05 14:36:00,17,
388,,,,2021-06-05 14:52:00,22,
389,,,,2021-06-05 15:09:00,21,
390,,,,2021-06-05 15:25:00,22,
391,,,,2021-06-05 15:41:00,18,
392,,,,2021-06-05 15:58:00,19,
393,,,,2021-06-05 16:14:00,18,
394,,,,2021-06-05 16:30:00,26,
395,,,,2021-06-05 16:47:00,19,
396,,,,2021-06-05 17:03:00,16,
397,,,,2021-06-05 17:19:00,19,
398,,,,2021-06-05 17:36:00,14,
399,,,,2021-06-05 18:17:00,36,
400,,,,2021-06-05 18:33:00,20,
401,,,,2021-06-05 18:50:00,23,
402,,,,2021-06-05 19:06:00,22,
403,,,,2021-06-05 19:22:00,20,
404,,,,2021-06-05 19:39:00,19,
405,,,,2021-06-05 19:55:00,24,
406,,,,2021-06-05 20:11:00,22,
407,,,,2021-06-05 20:28:00,19,
408,,,,2021-06-05 20:44:00,24,
409,,,,2021-06-05 21:00:00,21,
410,,,,2021-06-05 21:16:00,18,
411,,,,2021-06-05 21:33:00,17,
412,,,,2021-06-05 21:49:00,23,
413,,,,2021-06-05 22:05:00,20,
414,,,,2021-06-05 22:22:00,20,
415,,,,2021-06-05 22:38:00,26,
416,,,,2021-06-05 22:55:00,0,
417,,,,2021-06-05 23:11:00,0,
418,,,,2021-06-05 23:48:00,23,
419,,,,2021-06-06 00:05:00,8,
420,,,,2021-06-06 00:21:00,7,
421,,,,2021-06-06 00:37:00,7,
422,,,,2021-06-06 00:54:00,8,
423,,,,2021-06-06 01:10:00,7,
424,,,,2021-06-06 01:48:00,15,
425,,,,2021-06-06 02:04:00,6,
426,,,,2021-06-06 02:20:00,7,
427,,,,2021-06-06 02:36:00,11,
428,,,,2021-06-06 03:14:00,16,
429,,,,2021-06-06 03:30:00,11,
